Topic,BM25,JM_LM,My_PRM
R101,1.0,1.0,0.3010299956639812
R102,3.8238179536970653,3.8238179536970653,1.4747665480799381
R103,0.31546487678572877,0.0,1.0
R104,3.974766548079938,1.5616063116448506,3.974766548079938
R105,3.2461414348591218,3.898287324662436,0.9498282057830434
R106,0.0,0.0,0.0
R107,1.3868528072345416,1.6309297535714575,0.0
R108,0.3333333333333333,0.3333333333333333,0.38685280723454163
R109,2.3770711884305795,2.3770711884305795,1.4518926943052493
R110,1.9356819553004772,2.9463946303571866,0.0
R111,1.0,1.0,0.0
R112,2.367641704535916,2.894939644978184,0.0
R113,0.6309297535714575,1.6737365524159569,0.6309297535714575
R114,0.9871369406794797,3.5616063116448506,0.9871369406794797
R115,2.0,1.0,0.31546487678572877
R116,2.2461414348591218,2.2461414348591218,2.2461414348591218
R117,0.6487982101190621,0.31546487678572877,0.6487982101190621
R118,1.2868837451814152,1.7317065537373744,0.0
R119,0.0,0.0,0.0
R120,0.8333333333333333,0.8333333333333333,0.8333333333333333
R121,0.38685280723454163,2.2023176840202705,0.5
R122,4.439029634984729,4.2902314248656666,0.6343633289973145
R123,0.0,0.0,0.0
R124,2.0356510173536035,2.1202170785147487,0.6343633289973145
R125,3.467610766589043,1.4212470741787298,3.467610766589043
R126,3.953464516106477,2.8366810130175852,3.953464516106477
R127,2.3868528072345416,1.9319597492354388,0.3010299956639812
R128,0.31546487678572877,1.0,1.3154648767857289
R129,1.2474246260211674,1.2474246260211674,1.648798210119062
R130,1.5,1.1309297535714575,0.6895405204413555
R131,0.7430599943425638,0.6895405204413555,0.5
R132,0.3562071871080222,0.9463946303571863,0.9871369406794797
R133,2.1329942420936634,2.430676558073393,0.0
R134,0.9463946303571863,1.0,1.3154648767857289
R135,2.047171430523103,2.044089990006545,2.047171430523103
R136,2.3010299956639813,0.8175293653079347,2.3010299956639813
R137,1.1309297535714575,2.0,0.0
R138,0.6309297535714575,0.8175293653079347,0.6309297535714575
R139,1.9306765580733931,1.4306765580733931,1.0
R140,1.7317065537373744,1.7317065537373744,1.7317065537373744
R141,2.5177825608059994,2.220186140567875,1.6737365524159569
R142,0.7023176840202704,0.7023176840202704,0.3333333333333333
R143,0.0,0.0,0.0
R144,1.0,2.4463946303571866,0.38685280723454163
R145,0.38685280723454163,0.38685280723454163,0.38685280723454163
R146,0.671672063893751,0.671672063893751,2.047171430523103
R147,0.0,0.0,0.0
R148,3.5616063116448506,0.6572371827720034,3.5616063116448506
R149,0.671672063893751,0.671672063893751,0.6343633289973145
R150,2.394939644978184,1.7640098914067264,0.0
Average,1.5196857901564789,1.4887572722465552,0.9576586602907985
