Topic,BM25,JM_LM,My_PRM
R101,0.1,0.1,0.2
R102,0.8,0.8,0.7
R103,0.1,0.0,0.2
R104,0.7,0.3,0.8
R105,0.5,0.8,0.2
R106,0.0,0.0,0.1
R107,0.2,0.2,0.2
R108,0.1,0.1,0.2
R109,0.4,0.4,0.4
R110,0.5,0.4,0.4
R111,0.1,0.1,0.0
R112,0.6,0.5,0.4
R113,0.1,0.4,0.0
R114,0.2,0.5,0.2
R115,0.2,0.1,0.0
R116,0.4,0.4,0.4
R117,0.2,0.1,0.3
R118,0.3,0.3,0.2
R119,0.0,0.0,0.0
R120,0.2,0.2,0.0
R121,0.1,0.4,0.1
R122,0.8,0.8,0.7
R123,0.0,0.0,0.0
R124,0.4,0.4,0.2
R125,0.7,0.4,0.5
R126,0.8,0.6,0.8
R127,0.3,0.3,0.3
R128,0.1,0.1,0.1
R129,0.3,0.3,0.4
R130,0.2,0.2,0.0
R131,0.2,0.2,0.3
R132,0.1,0.2,0.1
R133,0.4,0.3,0.4
R134,0.2,0.1,0.2
R135,0.4,0.4,0.3
R136,0.3,0.2,0.2
R137,0.2,0.2,0.1
R138,0.1,0.2,0.1
R139,0.3,0.2,0.3
R140,0.3,0.3,0.1
R141,0.4,0.4,0.3
R142,0.2,0.2,0.1
R143,0.0,0.0,0.0
R144,0.1,0.4,0.0
R145,0.1,0.1,0.0
R146,0.2,0.2,0.3
R147,0.0,0.0,0.0
R148,0.5,0.2,0.3
R149,0.2,0.2,0.2
R150,0.4,0.3,0.3
Average,0.28,0.2699999999999999,0.23200000000000004
